Test NFA, number of states = 10 propogating length = 40
experiment No = 1, UNSAT, testing length = 40
experiment No = 2, UNSAT, testing length = 40
experiment No = 3, UNSAT, testing length = 40
experiment No = 4, UNSAT, testing length = 40
experiment No = 5, UNSAT, testing length = 40
experiment No = 6, UNSAT, testing length = 40
experiment No = 7, UNSAT, testing length = 40
experiment No = 8, UNSAT, testing length = 40
experiment No = 9, UNSAT, testing length = 40
experiment No = 10, UNSAT, testing length = 40
experiment No = 11, UNSAT, testing length = 40
experiment No = 12, SAT, shortest length = 10
experiment No = 13, UNSAT, testing length = 40
experiment No = 14, UNSAT, testing length = 40
experiment No = 15, UNSAT, testing length = 40
experiment No = 16, UNSAT, testing length = 40
experiment No = 17, UNSAT, testing length = 40
experiment No = 18, UNSAT, testing length = 40
experiment No = 19, UNSAT, testing length = 40
experiment No = 20, UNSAT, testing length = 40
experiment No = 21, UNSAT, testing length = 40
experiment No = 22, UNSAT, testing length = 40
experiment No = 23, UNSAT, testing length = 40
experiment No = 24, UNSAT, testing length = 40
experiment No = 25, UNSAT, testing length = 40
experiment No = 26, UNSAT, testing length = 40
experiment No = 27, UNSAT, testing length = 40
experiment No = 28, UNSAT, testing length = 40
experiment No = 29, UNSAT, testing length = 40
experiment No = 30, UNSAT, testing length = 40
experiment No = 31, UNSAT, testing length = 40
experiment No = 32, SAT, shortest length = 10
experiment No = 33, UNSAT, testing length = 40
experiment No = 34, UNSAT, testing length = 40
experiment No = 35, UNSAT, testing length = 40
experiment No = 36, UNSAT, testing length = 40
experiment No = 37, UNSAT, testing length = 40
experiment No = 38, UNSAT, testing length = 40
experiment No = 39, UNSAT, testing length = 40
experiment No = 40, UNSAT, testing length = 40
experiment No = 41, UNSAT, testing length = 40
experiment No = 42, UNSAT, testing length = 40
experiment No = 43, UNSAT, testing length = 40
experiment No = 44, UNSAT, testing length = 40
experiment No = 45, UNSAT, testing length = 40
experiment No = 46, UNSAT, testing length = 40
experiment No = 47, UNSAT, testing length = 40
experiment No = 48, UNSAT, testing length = 40
experiment No = 49, UNSAT, testing length = 40
experiment No = 50, UNSAT, testing length = 40
experiment No = 51, UNSAT, testing length = 40
experiment No = 52, UNSAT, testing length = 40
experiment No = 53, UNSAT, testing length = 40
experiment No = 54, SAT, shortest length = 8
experiment No = 55, UNSAT, testing length = 40
experiment No = 56, UNSAT, testing length = 40
experiment No = 57, UNSAT, testing length = 40
experiment No = 58, UNSAT, testing length = 40
experiment No = 59, UNSAT, testing length = 40
experiment No = 60, UNSAT, testing length = 40
experiment No = 61, UNSAT, testing length = 40
experiment No = 62, SAT, shortest length = 13
experiment No = 63, UNSAT, testing length = 40
experiment No = 64, UNSAT, testing length = 40
experiment No = 65, UNSAT, testing length = 40
experiment No = 66, UNSAT, testing length = 40
experiment No = 67, UNSAT, testing length = 40
experiment No = 68, UNSAT, testing length = 40
experiment No = 69, UNSAT, testing length = 40
experiment No = 70, UNSAT, testing length = 40
experiment No = 71, UNSAT, testing length = 40
experiment No = 72, UNSAT, testing length = 40
experiment No = 73, UNSAT, testing length = 40
experiment No = 74, UNSAT, testing length = 40
experiment No = 75, UNSAT, testing length = 40
experiment No = 76, UNSAT, testing length = 40
experiment No = 77, UNSAT, testing length = 40
experiment No = 78, UNSAT, testing length = 40
experiment No = 79, UNSAT, testing length = 40
experiment No = 80, UNSAT, testing length = 40
experiment No = 81, UNSAT, testing length = 40
experiment No = 82, UNSAT, testing length = 40
experiment No = 83, UNSAT, testing length = 40
experiment No = 84, UNSAT, testing length = 40
experiment No = 85, UNSAT, testing length = 40
experiment No = 86, UNSAT, testing length = 40
experiment No = 87, UNSAT, testing length = 40
experiment No = 88, UNSAT, testing length = 40
experiment No = 89, UNSAT, testing length = 40
experiment No = 90, UNSAT, testing length = 40
experiment No = 91, UNSAT, testing length = 40
experiment No = 92, UNSAT, testing length = 40
experiment No = 93, UNSAT, testing length = 40
experiment No = 94, UNSAT, testing length = 40
experiment No = 95, UNSAT, testing length = 40
experiment No = 96, UNSAT, testing length = 40
experiment No = 97, UNSAT, testing length = 40
experiment No = 98, UNSAT, testing length = 40
experiment No = 99, UNSAT, testing length = 40
experiment No = 100, UNSAT, testing length = 40
